method,scenario,nodes,trial,sla_pct
FogPlan-MinCost,Burst Load,100,10,41.922
FogPlan-MinCost,Burst Load,300,1,24.538
FogPlan-MinCost,Burst Load,300,2,25.309
FogPlan-MinCost,Burst Load,300,3,25.346
FogPlan-MinCost,Burst Load,300,4,24.514
FogPlan-MinCost,Burst Load,300,5,25.38
FogPlan-MinCost,Burst Load,300,6,25.338
FogPlan-MinCost,Burst Load,300,7,24.487
FogPlan-MinCost,Burst Load,300,8,25.38
FogPlan-MinCost,Burst Load,300,9,25.346
FogPlan-MinCost,Burst Load,300,10,24.603
FogPlan-MinCost,Burst Load,500,1,20.623
FogPlan-MinCost,Burst Load,500,2,20.654
FogPlan-MinCost,Burst Load,500,3,21.23
FogPlan-MinCost,Burst Load,500,4,20.637
FogPlan-MinCost,Burst Load,500,5,20.618
FogPlan-MinCost,Burst Load,500,6,21.149
FogPlan-MinCost,Burst Load,500,7,20.612
FogPlan-MinCost,Burst Load,500,8,20.639
FogPlan-MinCost,Burst Load,500,9,21.225
FogPlan-MinCost,Burst Load,500,10,20.606
FogPlan-MinCost,Burst Load,1000,1,17.238
FogPlan-MinCost,Burst Load,1000,2,17.234
FogPlan-MinCost,Burst Load,1000,3,17.251
FogPlan-MinCost,Burst Load,1000,4,17.242
FogPlan-MinCost,Burst Load,1000,5,17.233
FogPlan-MinCost,Burst Load,1000,6,17.229
FogPlan-MinCost,Burst Load,1000,7,17.257
FogPlan-MinCost,Burst Load,1000,8,17.25
FogPlan-MinCost,Burst Load,1000,9,17.239
FogPlan-MinCost,Burst Load,1000,10,17.258
FogPlan-MinCost,Churn,100,1,42.382
FogPlan-MinCost,Churn,100,2,42.503
FogPlan-MinCost,Churn,100,3,42.559
FogPlan-MinCost,Churn,100,4,42.568
FogPlan-MinCost,Churn,100,5,42.477
FogPlan-MinCost,Churn,100,6,42.417
FogPlan-MinCost,Churn,100,7,42.365
FogPlan-MinCost,Churn,100,8,42.465
FogPlan-MinCost,Churn,100,9,42.486
FogPlan-MinCost,Churn,100,10,42.395
FogPlan-MinCost,Churn,300,1,25.718
FogPlan-MinCost,Churn,300,2,24.912
FogPlan-MinCost,Churn,300,3,25.791
FogPlan-MinCost,Churn,300,4,25.805
FogPlan-MinCost,Churn,300,5,24.851
FogPlan-MinCost,Churn,300,6,25.759
FogPlan-MinCost,Churn,300,7,25.803
FogPlan-MinCost,Churn,300,8,24.945
FogPlan-MinCost,Churn,300,9,25.748
FogPlan-MinCost,Churn,300,10,25.751
FogPlan-MinCost,Churn,500,1,21.047
FogPlan-MinCost,Churn,500,2,21.05
FogPlan-MinCost,Churn,500,3,21.632
FogPlan-MinCost,Churn,500,4,21.022
FogPlan-MinCost,Churn,500,5,21.065
FogPlan-MinCost,Churn,500,6,21.594
FogPlan-MinCost,Churn,500,7,21.049
FogPlan-MinCost,Churn,500,8,21.035
FogPlan-MinCost,Churn,500,9,21.616
FogPlan-MinCost,Churn,500,10,21.026
FogPlan-MinCost,Churn,1000,1,17.408
FogPlan-MinCost,Churn,1000,2,17.426
FogPlan-MinCost,Churn,1000,3,17.422
FogPlan-MinCost,Churn,1000,4,17.425
FogPlan-MinCost,Churn,1000,5,17.417
FogPlan-MinCost,Churn,1000,6,17.41
FogPlan-MinCost,Churn,1000,7,17.402
FogPlan-MinCost,Churn,1000,8,17.42
FogPlan-MinCost,Churn,1000,9,17.414
FogPlan-MinCost,Churn,1000,10,17.426
Static-DCBO,Normal Load,100,1,21.963
Static-DCBO,Normal Load,100,2,18.366
Static-DCBO,Normal Load,100,3,18.368
Static-DCBO,Normal Load,100,4,21.963
Static-DCBO,Normal Load,100,5,18.366
Static-DCBO,Normal Load,100,6,18.368
Static-DCBO,Normal Load,100,7,21.963
Static-DCBO,Normal Load,100,8,18.366
Static-DCBO,Normal Load,100,9,18.368
Static-DCBO,Normal Load,100,10,21.963
Static-DCBO,Normal Load,300,1,19.522
Static-DCBO,Normal Load,300,2,19.521
Static-DCBO,Normal Load,300,3,18.4
Static-DCBO,Normal Load,300,4,19.522
Static-DCBO,Normal Load,300,5,19.521
Static-DCBO,Normal Load,300,6,18.4
Static-DCBO,Normal Load,300,7,19.522
Static-DCBO,Normal Load,300,8,19.521
Static-DCBO,Normal Load,300,9,18.4
Static-DCBO,Normal Load,300,10,19.522
Static-DCBO,Normal Load,500,1,18.978
Static-DCBO,Normal Load,500,2,18.978
Static-DCBO,Normal Load,500,3,18.978
Static-DCBO,Normal Load,500,4,18.978
Static-DCBO,Normal Load,500,5,18.978
Static-DCBO,Normal Load,500,6,18.978
Static-DCBO,Normal Load,500,7,18.978
Static-DCBO,Normal Load,500,8,18.978
Static-DCBO,Normal Load,500,9,18.978
Static-DCBO,Normal Load,500,10,18.978
Static-DCBO,Normal Load,1000,1,18.195
Static-DCBO,Normal Load,1000,2,18.195
Static-DCBO,Normal Load,1000,3,18.514
Static-DCBO,Normal Load,1000,4,18.195
Static-DCBO,Normal Load,1000,5,18.195
Static-DCBO,Normal Load,1000,6,18.514
Static-DCBO,Normal Load,1000,7,18.195
Static-DCBO,Normal Load,1000,8,18.195
Static-DCBO,Normal Load,1000,9,18.514
Static-DCBO,Normal Load,1000,10,18.195
Static-DCBO,Burst Load,100,1,21.878
Static-DCBO,Burst Load,100,2,18.267
Static-DCBO,Burst Load,100,3,18.263
Static-DCBO,Burst Load,100,4,21.878
Static-DCBO,Burst Load,100,5,18.267
Static-DCBO,Burst Load,100,6,18.263
Static-DCBO,Burst Load,100,7,21.878
Static-DCBO,Burst Load,100,8,18.267
Static-DCBO,Burst Load,100,9,18.263
Static-DCBO,Burst Load,100,10,21.878
Static-DCBO,Burst Load,300,1,18.429
Static-DCBO,Burst Load,300,2,19.563
Static-DCBO,Burst Load,300,3,19.564
Static-DCBO,Burst Load,300,4,18.429
Static-DCBO,Burst Load,300,5,19.563
Static-DCBO,Burst Load,300,6,19.564
Static-DCBO,Burst Load,300,7,18.429
Static-DCBO,Burst Load,300,8,19.563
Static-DCBO,Burst Load,300,9,19.564
Static-DCBO,Burst Load,300,10,18.429
Static-DCBO,Burst Load,500,1,19.011
Static-DCBO,Burst Load,500,2,19.011
Static-DCBO,Burst Load,500,3,19.011
Static-DCBO,Burst Load,500,4,19.011
Static-DCBO,Burst Load,500,5,19.011
Static-DCBO,Burst Load,500,6,19.011
Static-DCBO,Burst Load,500,7,19.011
Static-DCBO,Burst Load,500,8,19.011
Static-DCBO,Burst Load,500,9,19.011
Static-DCBO,Burst Load,500,10,19.011
Static-DCBO,Burst Load,1000,1,18.718
Static-DCBO,Burst Load,1000,2,18.718
Static-DCBO,Burst Load,1000,3,19.049
Static-DCBO,Burst Load,1000,4,18.718
Static-DCBO,Burst Load,1000,5,18.718
Static-DCBO,Burst Load,1000,6,19.049
Static-DCBO,Burst Load,1000,7,18.718
Static-DCBO,Burst Load,1000,8,18.718
Static-DCBO,Burst Load,1000,9,19.049
Static-DCBO,Burst Load,1000,10,18.718
Static-DCBO,Churn,100,1,18.976
Static-DCBO,Churn,100,2,18.977
Static-DCBO,Churn,100,3,22.691
Static-DCBO,Churn,100,4,18.976
Static-DCBO,Churn,100,5,18.977
Static-DCBO,Churn,100,6,22.691
Static-DCBO,Churn,100,7,18.976
Static-DCBO,Churn,100,8,18.977
Static-DCBO,Churn,100,9,22.691
Static-DCBO,Churn,100,10,18.976
Static-DCBO,Churn,300,1,18.885
Static-DCBO,Churn,300,2,20.036
Static-DCBO,Churn,300,3,20.036
Static-DCBO,Churn,300,4,18.885
Static-DCBO,Churn,300,5,20.036
Static-DCBO,Churn,300,6,20.036
Static-DCBO,Churn,300,7,18.885
Static-DCBO,Churn,300,8,20.036
Static-DCBO,Churn,300,9,20.036
Static-DCBO,Churn,300,10,18.885
Static-DCBO,Churn,500,1,19.513
Static-DCBO,Churn,500,2,19.512
Static-DCBO,Churn,500,3,19.598
Static-DCBO,Churn,500,4,19.513
Static-DCBO,Churn,500,5,19.512
Static-DCBO,Churn,500,6,19.605
Static-DCBO,Churn,500,7,19.513
Static-DCBO,Churn,500,8,19.512
Static-DCBO,Churn,500,9,19.598
Static-DCBO,Churn,500,10,19.513
Static-DCBO,Churn,1000,1,19.3
Static-DCBO,Churn,1000,2,18.887
Static-DCBO,Churn,1000,3,18.887
Static-DCBO,Churn,1000,4,19.3
Static-DCBO,Churn,1000,5,18.887
Static-DCBO,Churn,1000,6,18.887
Static-DCBO,Churn,1000,7,19.3
Static-DCBO,Churn,1000,8,18.887
Static-DCBO,Churn,1000,9,18.887
Static-DCBO,Churn,1000,10,19.3
Greedy-Nearest,Normal Load,100,1,21.963
Greedy-Nearest,Normal Load,100,2,18.366
Greedy-Nearest,Normal Load,100,3,18.368
Greedy-Nearest,Normal Load,100,4,21.963
Greedy-Nearest,Normal Load,100,5,18.366
Greedy-Nearest,Normal Load,100,6,18.368
Greedy-Nearest,Normal Load,100,7,21.963
Greedy-Nearest,Normal Load,100,8,18.366
Greedy-Nearest,Normal Load,100,9,18.368
Greedy-Nearest,Normal Load,100,10,21.963
Greedy-Nearest,Normal Load,300,1,19.522
Greedy-Nearest,Normal Load,300,2,19.521
Greedy-Nearest,Normal Load,300,3,18.4
Greedy-Nearest,Normal Load,300,4,19.522
Greedy-Nearest,Normal Load,300,5,19.521
Greedy-Nearest,Normal Load,300,6,18.4
Greedy-Nearest,Normal Load,300,7,19.522
Greedy-Nearest,Normal Load,300,8,19.521
Greedy-Nearest,Normal Load,300,9,18.4
Greedy-Nearest,Normal Load,300,10,19.522
Greedy-Nearest,Normal Load,500,1,18.978
Greedy-Nearest,Normal Load,500,2,18.978
Greedy-Nearest,Normal Load,500,3,18.978
Greedy-Nearest,Normal Load,500,4,18.978
Greedy-Nearest,Normal Load,500,5,18.978
Greedy-Nearest,Normal Load,500,6,18.978
Greedy-Nearest,Normal Load,500,7,18.978
Greedy-Nearest,Normal Load,500,8,18.978
Greedy-Nearest,Normal Load,500,9,18.978
Greedy-Nearest,Normal Load,500,10,18.978
Greedy-Nearest,Normal Load,1000,1,18.195
Greedy-Nearest,Normal Load,1000,2,18.195
Greedy-Nearest,Normal Load,1000,3,18.514
Greedy-Nearest,Normal Load,1000,4,18.195
Greedy-Nearest,Normal Load,1000,5,18.195
Greedy-Nearest,Normal Load,1000,6,18.514
Greedy-Nearest,Normal Load,1000,7,18.195
Greedy-Nearest,Normal Load,1000,8,18.195
Greedy-Nearest,Normal Load,1000,9,18.514
Greedy-Nearest,Normal Load,1000,10,18.195
Greedy-Nearest,Burst Load,100,1,18.263
Greedy-Nearest,Burst Load,100,2,21.878
Greedy-Nearest,Burst Load,100,3,18.267
Greedy-Nearest,Burst Load,100,4,18.263
Greedy-Nearest,Burst Load,100,5,21.878
Greedy-Nearest,Burst Load,100,6,18.267
Greedy-Nearest,Burst Load,100,7,18.263
Greedy-Nearest,Burst Load,100,8,21.878
Greedy-Nearest,Burst Load,100,9,18.267
Greedy-Nearest,Burst Load,100,10,18.263
Greedy-Nearest,Burst Load,300,1,19.563
Greedy-Nearest,Burst Load,300,2,19.564
Greedy-Nearest,Burst Load,300,3,18.429
Greedy-Nearest,Burst Load,300,4,19.563
Greedy-Nearest,Burst Load,300,5,19.564
Greedy-Nearest,Burst Load,300,6,18.429
Greedy-Nearest,Burst Load,300,7,19.563
Greedy-Nearest,Burst Load,300,8,19.564
Greedy-Nearest,Burst Load,300,9,18.429
Greedy-Nearest,Burst Load,300,10,19.563
Greedy-Nearest,Burst Load,500,1,19.011
Greedy-Nearest,Burst Load,500,2,19.011
Greedy-Nearest,Burst Load,500,3,19.011
Greedy-Nearest,Burst Load,500,4,19.011
Greedy-Nearest,Burst Load,500,5,19.011
Greedy-Nearest,Burst Load,500,6,19.011
Greedy-Nearest,Burst Load,500,7,19.011
Greedy-Nearest,Burst Load,500,8,19.011
Greedy-Nearest,Burst Load,500,9,19.011
Greedy-Nearest,Burst Load,500,10,19.011
Greedy-Nearest,Burst Load,1000,1,18.718
Greedy-Nearest,Burst Load,1000,2,18.718
Greedy-Nearest,Burst Load,1000,3,19.049
Greedy-Nearest,Burst Load,1000,4,18.718
Greedy-Nearest,Burst Load,1000,5,18.718
Greedy-Nearest,Burst Load,1000,6,19.049
Greedy-Nearest,Burst Load,1000,7,18.718
Greedy-Nearest,Burst Load,1000,8,18.718
Greedy-Nearest,Burst Load,1000,9,19.049
Greedy-Nearest,Burst Load,1000,10,18.718
Greedy-Nearest,Churn,100,1,22.691
Greedy-Nearest,Churn,100,2,18.976
Greedy-Nearest,Churn,100,3,18.977
Greedy-Nearest,Churn,100,4,22.691
Greedy-Nearest,Churn,100,5,18.976
Greedy-Nearest,Churn,100,6,18.977
Greedy-Nearest,Churn,100,7,22.691
Greedy-Nearest,Churn,100,8,18.976
Greedy-Nearest,Churn,100,9,18.977
Greedy-Nearest,Churn,100,10,22.691
Greedy-Nearest,Churn,300,1,20.036
Greedy-Nearest,Churn,300,2,20.036
Greedy-Nearest,Churn,300,3,18.885
Greedy-Nearest,Churn,300,4,20.036
Greedy-Nearest,Churn,300,5,20.036
Greedy-Nearest,Churn,300,6,18.885
Greedy-Nearest,Churn,300,7,20.036
Greedy-Nearest,Churn,300,8,20.036
Greedy-Nearest,Churn,300,9,18.885
Greedy-Nearest,Churn,300,10,20.036
Greedy-Nearest,Churn,500,1,19.512
Greedy-Nearest,Churn,500,2,19.512
Greedy-Nearest,Churn,500,3,19.512
Greedy-Nearest,Churn,500,4,19.512
Greedy-Nearest,Churn,500,5,19.512
Greedy-Nearest,Churn,500,6,19.512
Greedy-Nearest,Churn,500,7,19.512
Greedy-Nearest,Churn,500,8,19.512
Greedy-Nearest,Churn,500,9,19.512
Greedy-Nearest,Churn,500,10,19.512
Greedy-Nearest,Churn,1000,1,18.887
Greedy-Nearest,Churn,1000,2,19.218
Greedy-Nearest,Churn,1000,3,18.886
Greedy-Nearest,Churn,1000,4,18.887
Greedy-Nearest,Churn,1000,5,19.218
Greedy-Nearest,Churn,1000,6,18.886
Greedy-Nearest,Churn,1000,7,18.887
Greedy-Nearest,Churn,1000,8,19.218
Greedy-Nearest,Churn,1000,9,18.886
Greedy-Nearest,Churn,1000,10,18.887
Tavousi-Fuzzy,Normal Load,100,1,21.963
Tavousi-Fuzzy,Normal Load,100,2,18.366
Tavousi-Fuzzy,Normal Load,100,3,18.368
Tavousi-Fuzzy,Normal Load,100,4,21.963
Tavousi-Fuzzy,Normal Load,100,5,18.366
Tavousi-Fuzzy,Normal Load,100,6,18.368
Tavousi-Fuzzy,Normal Load,100,7,21.963
Tavousi-Fuzzy,Normal Load,100,8,18.366
Tavousi-Fuzzy,Normal Load,100,9,18.368
Tavousi-Fuzzy,Normal Load,100,10,21.963
Tavousi-Fuzzy,Normal Load,300,1,19.522
Tavousi-Fuzzy,Normal Load,300,2,19.521
Tavousi-Fuzzy,Normal Load,300,3,18.4
Tavousi-Fuzzy,Normal Load,300,4,19.522
Tavousi-Fuzzy,Normal Load,300,5,19.521
Tavousi-Fuzzy,Normal Load,300,6,18.4
Tavousi-Fuzzy,Normal Load,300,7,19.522
Tavousi-Fuzzy,Normal Load,300,8,19.521
Tavousi-Fuzzy,Normal Load,300,9,18.4
Tavousi-Fuzzy,Normal Load,300,10,19.522
Tavousi-Fuzzy,Normal Load,500,1,18.978
Tavousi-Fuzzy,Normal Load,500,2,18.978
Tavousi-Fuzzy,Normal Load,500,3,18.978
Tavousi-Fuzzy,Normal Load,500,4,18.978
Tavousi-Fuzzy,Normal Load,500,5,18.978
Tavousi-Fuzzy,Normal Load,500,6,18.978
Tavousi-Fuzzy,Normal Load,500,7,18.978
Tavousi-Fuzzy,Normal Load,500,8,18.978
Tavousi-Fuzzy,Normal Load,500,9,18.978
Tavousi-Fuzzy,Normal Load,500,10,18.978
Tavousi-Fuzzy,Normal Load,1000,1,18.195
Tavousi-Fuzzy,Normal Load,1000,2,18.195
Tavousi-Fuzzy,Normal Load,1000,3,18.514
Tavousi-Fuzzy,Normal Load,1000,4,18.195
Tavousi-Fuzzy,Normal Load,1000,5,18.195
Tavousi-Fuzzy,Normal Load,1000,6,18.514
