method,policy,nodes,scenario,trial,seed,p95_ms,mean_loop_ms,sla_pct,overhead_norm,control_messages,colonies,variant
Edgeward,EDGEWARD,500,Burst Load,6,20327683,1779.010,860.916,86.563,0.000,0,0,
Edgeward,EDGEWARD,500,Burst Load,7,20316080,1775.010,861.660,86.719,0.000,0,0,
Edgeward,EDGEWARD,500,Burst Load,8,20316081,1775.010,861.660,86.719,0.000,0,0,
Edgeward,EDGEWARD,500,Burst Load,9,20316082,1779.010,860.916,86.563,0.000,0,0,
Edgeward,EDGEWARD,500,Burst Load,10,20316083,1775.010,861.660,86.719,0.000,0,0,
Edgeward,EDGEWARD,500,Churn,1,20345655,8.220,5.674,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Churn,2,20345656,8.220,5.671,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Churn,3,20345657,8.220,5.768,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Churn,4,20358360,8.220,5.756,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Churn,5,20358361,8.220,5.704,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Churn,6,20358362,8.220,5.801,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Churn,7,20358363,8.220,5.784,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Churn,8,20358364,8.220,5.783,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Churn,9,20358365,8.220,5.776,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Churn,10,20358366,8.220,5.753,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Normal Load,1,20268093,8.220,5.790,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Normal Load,2,20268094,8.220,5.704,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Normal Load,3,20268095,8.220,5.709,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Normal Load,4,20339683,8.220,5.703,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Normal Load,5,20339684,8.220,5.678,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Normal Load,6,20339685,8.220,5.736,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Normal Load,7,20339686,8.220,5.771,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Normal Load,8,20339687,8.220,5.750,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Normal Load,9,20339688,8.220,5.743,0.000,0.000,0,0,
Edgeward,EDGEWARD,500,Normal Load,10,20339689,8.220,5.764,0.000,0.000,0,0,
